64, 2, 397312, 131072
64, 4, 331776, 65536
64, 8, 299008, 32768
64, 16, 282624, 16384
64, 32, 274432, 8192
64, 64, 270336, 4096
128, 2, 3162112, 1048576
128, 4, 2637824, 524288
128, 8, 2375680, 262144
128, 16, 2244608, 131072
128, 32, 2179072, 65536
128, 64, 2146304, 32768
128, 128, 2129920, 16384
256, 2, 25231360, 8388608
256, 4, 21037056, 4194304
256, 8, 18939904, 2097152
256, 16, 17891328, 1048576
256, 32, 17367040, 524288
256, 64, 17104896, 262144
256, 128, 16973824, 131072
512, 2, 201588736, 67108864
512, 4, 168034304, 33554432
512, 8, 151257088, 16777216
512, 16, 142868480, 8388608
512, 32, 138674176, 4194304
512, 64, 136577024, 2097152
512, 128, 135528448, 1048576
64, 2, 397312, 131072
64, 4, 331776, 65536
64, 8, 299008, 32768
64, 16, 282624, 16384
64, 32, 274432, 8192
64, 64, 270336, 4096
128, 2, 3162112, 1048576
128, 4, 2637824, 524288
128, 8, 2375680, 262144
128, 16, 2244608, 131072
128, 32, 2179072, 65536
128, 64, 2146304, 32768
128, 128, 2129920, 16384
256, 2, 25231360, 8388608
256, 4, 21037056, 4194304
256, 8, 18939904, 2097152
256, 16, 17891328, 1048576
256, 32, 17367040, 524288
256, 64, 17104896, 262144
256, 128, 16973824, 131072
512, 2, 201588736, 67108864
512, 4, 168034304, 33554432
512, 8, 151257088, 16777216
512, 16, 142868480, 8388608
512, 32, 138674176, 4194304
512, 64, 136577024, 2097152
512, 128, 135528448, 1048576
64, 2, 397312, 131072
64, 4, 331776, 65536
64, 8, 299008, 32768
64, 16, 282624, 16384
64, 32, 274432, 8192
64, 64, 270336, 4096
128, 2, 3162112, 1048576
128, 4, 2637824, 524288
128, 8, 2375680, 262144
128, 16, 2244608, 131072
128, 32, 2179072, 65536
128, 64, 2146304, 32768
128, 128, 2129920, 16384
256, 2, 25231360, 8388608
256, 4, 21037056, 4194304
256, 8, 18939904, 2097152
256, 16, 17891328, 1048576
256, 32, 17367040, 524288
256, 64, 17104896, 262144
256, 128, 16973824, 131072
512, 2, 201588736, 67108864
512, 4, 168034304, 33554432
512, 8, 151257088, 16777216
512, 16, 142868480, 8388608
512, 32, 138674176, 4194304
512, 64, 136577024, 2097152
512, 128, 135528448, 1048576
